product_id,name,category,price,rejection_reasons
1.0,Cranberry pecan   Granola,Food -     Breakfast foods,-3.99,invalid_price
2.0,,Kitchen,10.99,missing_values
8.0,,Apps,24.99,missing_values
12.0,Athletic Sports Bra,Clothing - Activewear,0.0,invalid_price
,Fashionable Belt Bag,Accessories,34.99,"missing_values, duplicate_product_id"
29.0,Outdoor Camping Lantern,Outdoor,-34.99,invalid_price
46.0,Roasted Red Pepper Hummus,Food - Dips,-3.49,invalid_price
91.0,Silicone Stretch Lids,Kitchen,14.99,duplicate_product_id
73.0,,Home,19.99,missing_values
75.0,,Food - Prepared Foods,8.99,missing_values
85.0,,Smart Home,169.99,missing_values
91.0,Silicone Stretch Lids,Kitchen,14.99,duplicate_product_id
,Spinach Feta Wraps,Food - Deli,4.29,"missing_values, duplicate_product_id"
104.0,Phone Screen Protector,Accessories,0.0,invalid_price
115.0,,Smart Home,34.99,missing_values
216.0,Infrared Space Heater,Home Appliances,99.99,duplicate_product_id
131.0,Indian Curry Sauce,Food - Condiments,,"missing_values, invalid_price"
133.0,Almond Coconut Granola,,-3.99,"missing_values, invalid_price"
91.0,Silicone Stretch Lids,Kitchen,14.99,duplicate_product_id
216.0,Infrared Space Heater,Home Appliances,99.99,duplicate_product_id
149.0,,Clothing - Footwear,99.99,missing_values
161.0,,Pets,39.99,missing_values
169.0,Chocolate Fudge Brownie Mix,Food - Baking,-2.99,invalid_price
175.0,Rainbow Veggie Chips,Food - Snacks,3.29,duplicate_product_id
176.0,Ethical Wool Scarf,Clothing - Accessories,29.99,duplicate_product_id
182.0,,Food - Snacks,6.99,missing_values
189.0,,Home,34.99,missing_values
193.0,Graphic Sweatshirt,,34.99,missing_values
199.0,Chocolate Chip Cookie Dough,Food - Baking,5.49,duplicate_product_id
203.0,,Audio,39.99,missing_values
,Watercolor Brush Pens,Art Supplies,19.99,"missing_values, duplicate_product_id"
199.0,Chocolate Chip Cookie Dough,Food - Baking,5.49,duplicate_product_id
216.0,Infrared Space Heater,Home Appliances,99.99,duplicate_product_id
218.0,,Food - Bakery,6.49,missing_values
175.0,Rainbow Veggie Chips,Food - Snacks,3.29,duplicate_product_id
176.0,Ethical Wool Scarf,Clothing - Accessories,29.99,duplicate_product_id
175.0,Rainbow Veggie Chips,Food - Snacks,3.29,duplicate_product_id
176.0,Ethical Wool Scarf,Clothing - Accessories,29.99,duplicate_product_id
,Protein Pancake Mix,Food - Breakfast,3.99,"missing_values, duplicate_product_id"
237.0,,Home Appliances,249.99,missing_values
238.0,Ice Cream Maker,Kitchen,79.99,duplicate_product_id
,Weighted Blanket for Adults,Health,59.99,"missing_values, duplicate_product_id"
238.0,Ice Cream Maker,Kitchen,79.99,duplicate_product_id
250.0,Artisan Flatbreads,,2.99,missing_values
252.0,,Food - Grains,3.99,missing_values
,Beard Grooming Kit,Grooming,34.99,"missing_values, duplicate_product_id"
260.0,Berry Smoothie Mix,Food - Frozen Foods,,"missing_values, invalid_price"
266.0,Kids' Crafting Station,Toys,,"missing_values, invalid_price"
267.0,Casual Long Cardigan,,45.99,missing_values
272.0,Black Bean Spaghetti,Food - Pasta,-3.99,invalid_price
273.0,,Food - Cooking Oil,6.99,missing_values
,Spicy Roasted Nuts,Food - Snacks,4.99,"missing_values, duplicate_product_id"
290.0,Car Diagnostic Scanner,,49.99,missing_values
292.0,Almond Joy Munch Bars,Food - Snacks,0.0,invalid_price
,Sliced Ham,Food - Meat,5.49,"missing_values, duplicate_product_id"
297.0,,Food - Breakfast,4.99,missing_values
300.0,,Food - Meat,8.49,missing_values
,Homestyle Chicken Noodle Soup,Food - Canned Goods,2.99,"missing_values, duplicate_product_id"
